,speaker,twitter_handle,followers
367,marsha blackburn,VoteMarsha,37715
368,sally kohn,sallykohn,118264
369,grover norquist,GroverNorquist,74697
370,mitch daniels,purduemitch,36018
371,david porter,davidnporter80,236
372,kathleen murphy,kmurphyva,4016
373,dekalb county,ItsInDeKalb,10211
374,steve oelrich,SteveOelrich,743
375,national taxpayers union,NTU,10970
376,michael roberson,RobersonForNV,6421
377,ann mclane kuster,RepAnnieKuster,20668
378,mark hass,MarkHassOregon,2932
379,robin wright,RealRobinWright,150177
380,david ignatius,IgnatiusPost,97576
381,andrea tantaros,AndreaTantaros,477012
382,randi shade,randi61604000,14
383,juan williams,TheJuanWilliams,159499
384,jim webb,JimWebbUSA,26272
385,tom graves,RepTomGraves,20847
386,russ feingold,russfeingold,48262
387,joe garcia,JoeGarcia,3524
388,john obannon,CaptainObywan,44
389,ann coulter,AnnCoulter,2139088
390,jason stanford,jstannymlber61,3694
391,mark schlereth,markschlereth,592199
392,ann kirkpatrick,Ann_Kirkpatrick,10077
393,dana loesch,DLoesch,1078776
394,john king,JohnKingCNN,312149
395,carlos beruff,carlosberuff,2938
396,tom letson,Tom_Letson_LPC,690
397,keith faber,KeithFaber,5155
398,johnny isakson,SenatorIsakson,64784
399,steve poizner,StevePoizner,145182
400,joe defelice,JoeDeFeliceHUD,729
401,ed fallone,EdFallone,245
402,afscme,AFSCME,53443
403,harry alford,HarryAlford3,2412
404,progressohio,ProgressOhio,10706
405,rich golick,SpaceLogger,8
406,kathleen peters,KathleenMPeters,4143
407,kirk cox,SpeakerCox,4125
408,ultraviolet,UltraViolet,32789
409,drug policy alliance,DrugPolicyOrg,88079
410,brian sims,BrianSimsPA,57080
411,jim whelan,BoardwalkHall,7775
412,michael eric dyson,MichaelEDyson,389582
413,charles rangel,cbrangel,28275
414,chris matthews,HardballChris,908082
415,linda koop,LindaKoopTX,3191
416,terry moulton,terrymoulton,571
417,john loud,loud_john,630
418,john edwards,JEdwardsRacing,4624
419,one wisconsin now,onewisconsinnow,14443
420,turning point usa,TPUSA,256932
421,marion hammer,MarionHammer1,133
422,brianna keilar,brikeilarcnn,135328
423,shelley adler,Shelley_Adler,296
424,stephen colbert,StephenAtHome,18469615
425,louise slaughter,louiseslaughter,24311
426,wayne powell,Powellsenateva,2292
427,howard fineman,howardfineman,234526
428,alan simpson,AlanSimpsonNI,16719
429,senate majority pac,MajorityPAC,6105
430,laura ingraham,IngrahamAngle,2721881
431,tim ryan,TimRyan,20126
432,glen sturtevant,GlenSturtevant,2854
433,john lombardi,John3lombardi,330
434,chris murphy,ChrisMurphyCT,767715
435,bruce braley,BruceBraley,13602
436,curtis martin,curtismartin,26089
437,gus bilirakis,RepGusBilirakis,30072
438,nita lowey,NitaLowey,31819
439,catherine hanaway,639802,125
440,joellen smith,MsJoEllenSmith,61
441,elizabeth warren,SenWarren,4998745
442,ben cardin,BenCardinforMD,6046
443,vicki martin,MarineSciComm,798
444,evan bayh,SenEvanBayh,4632
445,jim moran,Jim_Moran,11038
446,bill weimer,Bill_Ymr,0
447,fred karger,fredkarger,3140
448,bill lynch,CoachLynchDPU,2121
449,tom marino,tommarino606,282
450,scott hassett,Easyscott,3
451,roberta lange,rlange9,175
452,america,americaband,9268
453,peter barca,PeterWBarca,7363
454,reid ribble,RepRibble,10429
455,cheryl grossman,cherylrsg,55
456,mark udall,MarkUdall,30323
457,saxby chambliss,SaxbyChambliss,10956
458,doug whitsett,dwitness,5
459,loren collins,LorenCollins,2052
460,paul hirschbiel,phirschbiel,52
461,gilberto hinojosa,HinojosaTX,2714
462,dennis kucinich,Dennis_Kucinich,49164
463,colleen deacon,colleendeacon,86
464,drudge report,DRUDGE_REPORT,1393717
465,stephanie cutter,stefcutter,103963
466,jessica king,jessCNN,4434
467,mike fasano,fasanomike,4231
468,tim cook,tim_cook,11315752
469,andy brown,AndyBrownMusic,167369
470,david dooley,david__dooley,1127
471,david brooks,nytdavidbrooks,187125
472,alex wan,AlexWanforATL,2067
473,steve stockman,Stoxo,2674
474,nan rich,senatornanrich,3286
475,donna campbell,DonnaCampbellTX,9172
476,stephen zappala,zappala2,16
477,brit hume,brithume,1026175
478,kyleen wright,kyleenwright,2491
479,tammy baldwin,tammybaldwin,48675
480,nowthis,nowthisnews,2280606
481,joe pojman,joepojman,1957
482,bill haslam,BillHaslam,143092
483,robert dimuccio,robertdimuccioo,268
484,trimet,trimetalerts,3028
485,josh shapiro,JoshShapiroPA,22929
486,bill mccollum,BillMcCollum,3980
487,alexi giannoulias,Giannoulias,3458
488,joseph testa,josephvtesta,659
489,alfonso lopez,alfonsolopez3,497
490,loranne ausley,LoranneAusley,1714
491,blake farenthold,farenthold,19232
492,tom colicchio,tomcolicchio,929037
493,robert healey,roberthealey,484
494,ed schultz,edshow,190863
495,glenn greenwald,ggreenwald,1034142
496,allen peake,AllenPeake,4676
497,vern buchanan,VernBuchanan ‏,28697
498,amy klobuchar,amyklobuchar,693605
499,george barker,GBarks33,2670
500,rosa delauro,rosadelauro,40868
501,jason carter,jjcforever,32931
502,judson hill,Judsonhill,3108
503,chris gregoire,chris_gregoire,228
504,bill cassidy,BillCassidy,41984
505,jay carney,JayCarney,41705
506,fran millar,Fran_Millar,5868
507,waco tea party,WacoTeaParty,2684
508,gretchen carlson,GretchenCarlson,106327
509,steny hoyer,StenyHoyer,5123
510,fidelis,FidelisCare,38636
511,elliott naishtat,ElliottNaishtat,1837
512,dan lungren,RepDanLungren,692
513,kris jordan,KrisJordan,1719
514,michael thurmond,PreservesOfLife,42
515,lynn jenkins,jenkslyn,936
516,keith stokes,drkeithstokes,1563
517,dan sullivan,SenDanSullivan ‏,36310
518,bob sears,SearsBob,75
519,georgia lottery,GeorgiaLottery,12487
520,greta van susteren,greta,1204085
521,mike collier,MikeCollierWX,12548
522,gayle atteberry,GayleAtteberry,703
523,chuck baldwin,drchuckbaldwin,2379
524,casey cagle,CaseyCagle,23219
525,bob donovan,BobDonovan12,282
526,occupy democrats,OccupyDemocrats,45268
527,john carlevale,johncarlevale,172
528,mike villarreal,MikeVillarreal,4793
529,snapchat,Snapchat,2102766
530,kim simac,KimSimac,770
531,ken plum,KenPlum1,1702
532,clay aiken,clayaiken,242198
533,joe brown,joemfbrown,24088
534,house republicans,HouseGOP,709758
535,ana navarro,ananavarro,1153361
536,travis rowley,travisrowley,369
537,tom harkin,SenatorHarkin,21630
538,mark butler,Mark_Butler_MP,27490
539,steve case,SteveCase,747972
540,molly white,molly0x57,1606
541,sheila resseger,sheilaresseger,270
542,robert hurt,RepRobertHurt,15590
543,don beyer,DonBeyerVA,4647
544,jan brewer,GovBrewer,55237
545,frank luntz,FrankLuntz,262431
546,ron ramsey,RonRamsey,52810
547,robert reich,RBReich,673370
548,jim huffman,JimWHuffman,2028
549,ron desantis,RonDeSantisFL,151558
550,steve crisafulli,SteveCrisafulli,12273
551,jim hightower,JimHightower,10435
552,gavin newsom,GavinNewsom,1434348
553,brendan doherty,bdoherty48,418
554,dale peterson,digitalbond,5663
555,mark sickles,MarkSicklesVA,3669
556,jeff stone,jeffstone500,2522
557,sher valenzuela,SherValenzuela1,245
558,charlie gonzalez,TX20CharlieG,2419
559,independence usa pac,iusapac,3
560,steve forbes,SteveForbesCEO,226414
561,john stone,JohnStoneBeef,1219
562,chris dodd,SenChrisDodd,17069
563,mark clayton,MarkClaytonD9,2586
564,kelli stargel,kellistargel,5360
565,john duncan,JohnDuncanMP,877
566,secure america now,SecureAmerica,39391
567,russell mcmurry,russell_mcmurry,3
568,lamar mckay,lamar80726859,2
569,ed rendell,GovEdRendell,15789
570,catherine taylor,KatyaTaylor,7746
571,benjamin crump,AttorneyCrump,46470
572,mike honda,RepMikeHonda,23506
573,josh burgin,therealjosh44,70
574,martin frost,martinjfrost,895
575,ronan farrow,RonanFarrow,809469
576,richard blumenthal,SenBlumenthal,581714
577,fred upton,RepFredUpton,24726
578,herb conaway,herbconaway,3187
579,ellen freidin,EllenFreidin,6
580,randy hopper,RHopper4130,14
581,mark drewniak,idunnocalliesda,0
582,let freedom ring,lfrusa,5678
583,zell miller,ZellMillerFndn,610
584,rodney frelinghuysen,frelinghuysen,0
585,donald trump jr,DonaldJTrumpJr,3547641
586,martha laning,laningforwi,1341
587,starbucks,Starbucks,11374911
588,vince megna,vincemegna,155
589,mark pryor,MarkPryorBooks,759
590,erika sanzi,esanzi,3240
591,chris larson,ChrisJLarson,8965
592,paul sadler,sadlerimages,3106
593,heather fiorentino,hfiorentino47,267
594,stephen hayes,stephenfhayes,321268
595,debbie stabenow,stabenow,50746
596,jim kenney,JimFKenney,31891
597,michelle rehwinkel vasilinda,MMRV2018,211
598,sarah silverman,SarahKSilverman,12570099
599,chelsea clinton,ChelseaClinton,2488256
600,jason chaffetz,jasoninthehouse,491127
601,steve king,SteveKingIA,115684
602,john wisniewski,JohnWisniewski,15825
603,virginia lottery,VirginiaLottery,13814
604,kathleen connell,KathleenConnell,1023
605,george turner,georgenturner,5726
606,rose ferlita,RoseforMayor,155
607,jeff kottkamp,JeffKottkamp,3775
608,portland community college,PortlandCCF,33
609,elise stefanik,EliseStefanik,30855
610,kevin otoole,KevOToole70,348
611,tom mcclintock,RepMcClintock,13810
612,lee fisher,fisher4justice,696
613,juan chuy hinojosa,TxChuy,7159
614,andy duyck,ChairAndyDuyck,233
615,john pistole,PresPistole,2395
616,phil gingrey,DrPhilGingrey,14528
617,lenar whitney,LenarWhitney,2081
618,foodmentum,FoodMentum,722
619,dave hunt,climberhunt,917
620,mary burke,crackerjaw,3658
621,wes riddle,wesriddle,150
622,steven landes,Wesukechak,1
623,ben affleck,BenAffleck,2945333
624,suzanne bonamici,RepBonamici,27425
625,bill oneill,CoachO02,177
626,jeff dewit,JeffDeWitAZ,5530
627,tom tancredo,ttancredo,4273
628,haley barbour,HaleyBarbour,33388
629,jeremy bird,jeremybird,36275
630,joe straus,SpeakerStraus,24491
631,meria carstarphen,CarstarphenMJ,21927
632,larry ahern,Larry_Ahern,4355
633,valerie jarrett,vj44,196174
634,new approach oregon,NewApproachPAC,2806
635,steve spinnett,steve_spinnett,15
636,jeff atwater,JeffAtwater,15603
637,linda curtis,TDSBLindaCurtis,984
638,paul workman,PaulCTV,3937
639,jim carrey,JimCarrey,18353767
640,michael morell,MichaelJMorell,50994
641,austan goolsbee,Austan_Goolsbee,81869
642,jb van hollen,JBVanHollen,2450
643,sheila jackson lee,JacksonLeeTX18,72002
644,sheri gallo,SheriGalloD10,1684
645,nan orrock,SenNanOrrock,6392
646,steve scalise,SteveScalise,301398
647,van wanggaard,Vanwanggaard,2203
648,nikki haley,NikkiHaley,411371
649,kyrsten sinema,SenatorSinema,94073
650,michael mccaul,RepMcCaul,29906
651,michelle malkin,michellemalkin,2162278
652,rebecca bradley,RebeccaJBradley,6195
653,david gregory,davidgregory,1733656
654,debbie dooley,Crimsontider,13877
655,paula dockery,Paula_Dockery,8085
656,bret baier,BretBaier,1302359
657,dustin inman society,DustinInmanSoc,97
658,don mcintire,Donmcintire4,0
659,ami bera,RepBera,32919
660,trevor noah,Trevornoah,9787536
661,great america pac,GreatAmericaPAC,8266
662,jan jones,janjonesauthor,4061
663,becky moeller,BeckyMoeller,185
664,emma watson,EmmaWatson,29147919
