,speaker,twitter_handle,followers,tweets,verified
1744,greg morris,juicedageneral,1077,4449,1
1745,teresa fedor,teresa_fedor,3926,3369,0
1746,eric fehrnstrom,EricFehrn,22760,379,1
1747,michael needham,MikeNeedham,7599,722,1
1748,lisa hamler fugitt,LisaHF1,13,1,0
1749,karen huber,karenohuber,569,11995,0
1750,john nygren,rep89,3570,5374,1
1751,voters first ohio,votersfirstohio,444,462,0
1752,alicia menendez,AliciaMenendez,28694,14316,1
1753,paul saldana,psaldana52,131,4206,0
1754,russ girling,breeanabessi,5,0,0
1755,oxfam america,OxfamAmerica,343121,26312,1
1756,joee lindbeck,lindbeck24,82,15,0
1757,john faulk,john__faulk,771,4963,0
1758,david prosser,David_Prosser,395,2662,0
1759,jonathan turley,JonathanTurley,45564,11851,0
1760,jason haas,jhaas,1709,10669,0
1761,mark belling,MarkBellingShow,9172,120,0
1762,campaign money watch,cmoneywatch,2,0,0
1763,mark harris,MarkHarrisNC9,6580,991,1
1764,your choice colorado,YourChoiceCO,3965,245,0
1765,matt wuerker,wuerker,22928,16753,1
1766,james quintero,JamesQuinteroTX,1483,5951,0
1767,paul hipp,paulhipp,2327,2263,0
1768,todd young,ToddYoungIN,8548,5923,1
1769,suzanne somers,SuzanneSomers,56756,5806,1
1770,ann lininger,annlininger,1395,25,0
1771,ellen qualls,QuallsComm,772,450,0
1772,tom wolf,TomWolfPA,29033,3384,1
1773,stephen simpson,Stevoo7,706,20195,0
1774,phyllis schlafly,PhyllisSchlafly,7493,10017,0
1775,john mccallum,HonJohnMcCallum,26089,3759,1
1776,hugh fitzsimons,HughAFitzsimons,182,87,0
1777,menendez facts,MenendezFacts,741,807,0
1778,andy berke,AndyBerke,22643,8198,1
1779,steve henson,SteveHenson,3115,994,0
1780,margaret carlson,carlsonmargaret,4810,638,0
1781,mark sharpe,MarkSharpe39kFT,7401,21109,0
1782,peter roskam,PeterRoskam,29587,7066,1
1783,joseph chiusolo,josephchiusolo,18,9,0
1784,ken lanci,KenALanci,442,951,0
1785,james durkan,jdurkan91,172,1749,0
1786,occupy wall street,OccupyWallStNYC,194412,112504,0
1787,jonathan boucher,jonbouch,2028,12234,1
1788,bill burton,billburton,39424,6028,1
1789,edward snowden,Snowden,4009114,3543,1
1790,rick allen,rickallenlive,68569,13651,1
1791,jane norton,JaneKitbag,227,1346,0
1792,mark assini,markassini,2132,2888,0
1793,keith ellison,keithellison,369012,21895,1
1794,michael solomon,Mister_Solomon,1779,780,0
1795,ted yoho,RepTedYoho,31846,1309,1
1796,james jolly,jamesjolly,582,27145,0
1797,nancy gordeuk,principalracist,2,6,0
1798,jeff amason,AmasonJeff,0,0,0
1799,mason tvert,MasonTvert,1859,28,0
1800,jessica ehrlich,JessEhrlich,1400,1838,0
1801,joseph fernandez,JoeFernz,82,3289,0
1802,matt patten,IowaMatt72,134,2842,0
1803,tom mccarey,tommccarey,46,25,0
1804,jason villalba,JasonVillalba,10459,18836,1
1805,chris cummiskey,chrispatc,14,137,0
1806,jennifer williamson,Jennifer_for_OR,3594,1638,0
1807,diane ravitch,DianeRavitch,152407,97484,0
1808,jean casarez,JeanCasarezCNN,10698,901,1
1809,patty judge,pattyforiowa,1955,452,1
1810,new boston republican committee,NBRCORG,1,3,0
1811,jackie dingfelder,jdpdx1,104,16,0
1812,kirsten powers,KirstenPowers,306576,9247,1
1813,mike hashimoto,MikeHashimoto,6945,6800,1
1814,john kennedy,SenJohnKennedy,56783,1522,1
1815,cynthia meyer,cynthiameyer_FF,431,1328,0
1816,kyle williams,KyleWilliams_10,67035,5309,1
1817,ron christie,Ron_Christie,11733,24876,1
1818,marie ghazal,marielghazal,82,106,0
1819,jeff bridges,TheJeffBridges,261637,1318,1
1820,charles kuck,ckuck,3853,12327,0
1821,john hutson,johnhutson,950,12540,0
1822,clayton county schools,CCPSArtsLife,146,470,0
1823,brian stelter,brianstelter,647826,179419,1
1824,bob king,BKingDC,5173,12098,1
1825,michael skolnik,MichaelSkolnik,293733,70884,1
1826,florida news flash,FLNewsFlash,206,2706,0
1827,jeremy kapstein,JeremyKapstein,76,52,0
1828,peggy lehner,peggylehner,2511,546,0
1829,michael rosen,MichaelRosenYes,134963,183662,0
1830,wayne smith,VaultWayne,228,89,0
1831,robert uithoven,ruithoven,1939,12151,0
1832,tere mccann,teremccann,70,303,0
1833,bryan kennedy,xbryanx,994,6131,0
1834,samuel demaio,AccuproRoofing,1,2,0
1835,limberbutt mccubbins,Limberbutt2016,1520,1740,0
1836,deirdre imus,TheGreenDirt,5077,1866,0
1837,oregon pta,oregonpta,2111,1691,0
1838,allie mccullen,alliemccullen,464,1277,0
1839,talmadge heflin,TalmadgeHeflin,9,0,0
1840,ben ferguson,benfergusonshow,141716,17651,1
1841,stephen carter,carter_AB,11102,40882,1
1842,matt mcgrath,MattMcGrathBBC,24599,1573,1
1843,russell brand,rustyrockets,11676717,12995,1
1844,martha robertson,MarthaRDryden,287,190,0
1845,ash williams,ashwilliams1,16390,6088,1
1846,shaun ireland,Ireland1836,182,9305,0
1847,jack keane,gen_jackkeane,15523,1356,0
1848,scott mccown,CScottMcCown,48,91,0
1849,diane mckeel,dianemckeel,814,219,0
1850,bill ratliff,billrat365,236,967,0
1851,steve cannon,SteveCannonCEO,7873,649,0
1852,steve phelps,stevephelps,8936,285,1
1853,katie pavlich,KatiePavlich,631123,45808,1
1854,tom pauken,TomPauken,1170,15717,0
1855,pari sabety,PSabety,372,938,0
1856,baby got pac,BabyGotPac,2,0,0
1857,liberty counsel,libertycounsel,7660,8666,0
1858,matt mccall,CoachMattMcCall,7964,2470,1
1859,patrick wales,pjwd_,593,12494,0
1860,allan ritter,RepAllanRitter,475,2,0
1861,senate democrats,SenateDems,898509,19524,1
1862,christine radogno,Christineradog1,30,0,0
1863,rick hardcastle,SteelString,213,2217,0
1864,alan essig,AlanEssig,244,2056,0
1865,gary kelly,gary_kelly,7398,247,1
1866,bill mcraven,billmcraven,17889,348,0
1867,john whitmire,whitmire_john,5017,1476,0
1868,steve deace,SteveDeaceShow,55166,101325,1
1869,john stossel,JohnStossel,1014497,8335,1
1870,maureen dowd,maureendowd,679883,1242,1
1871,chris chocola,ChrisChocola,681,192,0
1872,joel kleefisch,KleefischJoel,776,412,0
1873,valarie wilson,ValForEducation,528,795,0
1874,vicki mckenna,VickiMcKenna,15147,47596,0
1875,francis kungu,franciskungu73,0,6,0
1876,nancy nusbaum,go4justice,43,152,0
1877,julie parrish,hotcouponmama,3260,11781,0
1878,mike mcfadden,MUTGuru,73458,50181,1
1879,brad rockwell,BradRockwell808,11,0,0
