,speaker,twitter_handle,followers,tweets,verified
447,fred karger,fredkarger,3140,10788,0
448,bill lynch,CoachLynchDPU,2121,3809,0
449,tom marino,tommarino606,282,429,0
450,scott hassett,Easyscott,3,4,0
451,roberta lange,rlange9,175,1000,0
452,america,americaband,9268,2152,1
453,peter barca,PeterWBarca,7363,4248,1
454,reid ribble,RepRibble,10429,3732,1
455,cheryl grossman,cherylrsg,55,1126,0
456,mark udall,MarkUdall,30323,3938,1
457,saxby chambliss,SaxbyChambliss,10956,856,1
458,doug whitsett,dwitness,5,1,0
459,loren collins,LorenCollins,2052,840,0
460,paul hirschbiel,phirschbiel,52,1,0
461,gilberto hinojosa,HinojosaTX,2714,1838,0
462,dennis kucinich,Dennis_Kucinich,49164,2121,1
463,colleen deacon,colleendeacon,86,3,0
464,drudge report,DRUDGE_REPORT,1393717,237719,0
465,stephanie cutter,stefcutter,103963,2910,1
466,jessica king,jessCNN,4434,1326,1
467,mike fasano,fasanomike,4231,14496,0
468,tim cook,tim_cook,11315752,770,1
469,andy brown,AndyBrownMusic,167369,20396,1
470,david dooley,david__dooley,1127,10437,0
471,david brooks,nytdavidbrooks,187125,917,1
472,alex wan,AlexWanforATL,2067,1589,1
473,steve stockman,Stoxo,2674,9304,0
474,nan rich,senatornanrich,3286,1268,0
475,donna campbell,DonnaCampbellTX,9172,4984,1
476,stephen zappala,zappala2,16,0,0
477,brit hume,brithume,1026175,19448,1
478,kyleen wright,kyleenwright,2491,29219,0
479,tammy baldwin,tammybaldwin,48675,4715,1
480,nowthis,nowthisnews,2280606,121850,1
481,joe pojman,joepojman,1957,4987,0
482,bill haslam,BillHaslam,143092,1978,1
483,robert dimuccio,robertdimuccioo,268,1130,0
484,trimet,trimetalerts,3028,3749,0
485,josh shapiro,JoshShapiroPA,22929,11789,1
486,bill mccollum,BillMcCollum,3980,553,0
487,alexi giannoulias,Giannoulias,3458,2772,0
488,joseph testa,josephvtesta,659,12318,0
489,alfonso lopez,alfonsolopez3,497,5428,0
490,loranne ausley,LoranneAusley,1714,736,1
491,blake farenthold,farenthold,19232,6487,1
492,tom colicchio,tomcolicchio,929037,36941,1
493,robert healey,roberthealey,484,142,0
494,ed schultz,edshow,190863,25455,1
495,glenn greenwald,ggreenwald,1034142,57210,1
496,allen peake,AllenPeake,4676,5407,0
497,vern buchanan,VernBuchanan ‏,28697,2607,1
498,amy klobuchar,amyklobuchar,693605,8878,1
499,george barker,GBarks33,2670,1924,0
500,rosa delauro,rosadelauro,40868,6853,1
501,jason carter,jjcforever,32931,22756,1
502,judson hill,Judsonhill,3108,3561,0
503,chris gregoire,chris_gregoire,228,3936,0
504,bill cassidy,BillCassidy,41984,5711,1
505,jay carney,JayCarney,41705,3625,1
506,fran millar,Fran_Millar,5868,906,0
507,waco tea party,WacoTeaParty,2684,7110,0
508,gretchen carlson,GretchenCarlson,106327,19457,1
509,steny hoyer,StenyHoyer,5123,1162,1
510,fidelis,FidelisCare,38636,14912,1
511,elliott naishtat,ElliottNaishtat,1837,5,0
512,dan lungren,RepDanLungren,692,464,0
513,kris jordan,KrisJordan,1719,4235,0
514,michael thurmond,PreservesOfLife,42,2139,0
515,lynn jenkins,jenkslyn,936,10884,0
516,keith stokes,drkeithstokes,1563,1026,0
517,dan sullivan,SenDanSullivan ‏,36310,2388,1
518,bob sears,SearsBob,75,98,0
519,georgia lottery,GeorgiaLottery,12487,5565,0
520,greta van susteren,greta,1204085,155592,1
521,mike collier,MikeCollierWX,12548,19342,1
522,gayle atteberry,GayleAtteberry,703,1610,0
523,chuck baldwin,drchuckbaldwin,2379,650,0
524,casey cagle,CaseyCagle,23219,3682,1
525,bob donovan,BobDonovan12,282,283,0
526,occupy democrats,OccupyDemocrats,45268,48612,0
527,john carlevale,johncarlevale,172,149,0
528,mike villarreal,MikeVillarreal,4793,1846,0
529,snapchat,Snapchat,2102766,6710,1
530,kim simac,KimSimac,770,3527,0
531,ken plum,KenPlum1,1702,4777,0
532,clay aiken,clayaiken,242198,2407,1
533,joe brown,joemfbrown,24088,24742,1
534,house republicans,HouseGOP,709758,20286,1
535,ana navarro,ananavarro,1153361,22801,1
536,travis rowley,travisrowley,369,182,0
537,tom harkin,SenatorHarkin,21630,2578,1
538,mark butler,Mark_Butler_MP,27490,4999,1
539,steve case,SteveCase,747972,54204,1
540,molly white,molly0x57,1606,4741,0
541,sheila resseger,sheilaresseger,270,8412,0
542,robert hurt,RepRobertHurt,15590,2637,1
543,don beyer,DonBeyerVA,4647,2991,1
544,jan brewer,GovBrewer,55237,2655,1
545,frank luntz,FrankLuntz,262431,23199,1
546,ron ramsey,RonRamsey,52810,3249,1
547,robert reich,RBReich,673370,9976,1
548,jim huffman,JimWHuffman,2028,963,0
549,ron desantis,RonDeSantisFL,151558,2163,1
550,steve crisafulli,SteveCrisafulli,12273,1255,0
551,jim hightower,JimHightower,10435,2851,1
552,gavin newsom,GavinNewsom,1434348,11029,1
553,brendan doherty,bdoherty48,418,80,0
554,dale peterson,digitalbond,5663,7602,0
555,mark sickles,MarkSicklesVA,3669,960,0
556,jeff stone,jeffstone500,2522,2018,1
557,sher valenzuela,SherValenzuela1,245,23,0
558,charlie gonzalez,TX20CharlieG,2419,1036,1
559,independence usa pac,iusapac,3,0,0
560,steve forbes,SteveForbesCEO,226414,15718,1
561,john stone,JohnStoneBeef,1219,2096,0
562,chris dodd,SenChrisDodd,17069,917,1
563,mark clayton,MarkClaytonD9,2586,1129,0
564,kelli stargel,kellistargel,5360,909,0
565,john duncan,JohnDuncanMP,877,178,1
566,secure america now,SecureAmerica,39391,18748,0
567,russell mcmurry,russell_mcmurry,3,0,0
568,lamar mckay,lamar80726859,2,3,0
569,ed rendell,GovEdRendell,15789,1849,1
570,catherine taylor,KatyaTaylor,7746,30010,0
571,benjamin crump,AttorneyCrump,46470,17072,1
572,mike honda,RepMikeHonda,23506,2920,1
573,josh burgin,therealjosh44,70,4895,0
574,martin frost,martinjfrost,895,2252,0
575,ronan farrow,RonanFarrow,809469,10117,1
576,richard blumenthal,SenBlumenthal,581714,12049,1
577,fred upton,RepFredUpton,24726,6087,1
578,herb conaway,herbconaway,3187,1241,0
579,ellen freidin,EllenFreidin,6,1,0
580,randy hopper,RHopper4130,14,1,0
581,mark drewniak,idunnocalliesda,0,1,0
582,let freedom ring,lfrusa,5678,2100,1
583,zell miller,ZellMillerFndn,610,425,0
